GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
iwrite-backend,com.iwrite.location.entity,Location,0,74,0,0,0,31,0,20,0,20
iwrite-backend,com.iwrite.writingprogress.config,WritingProgressClockConfig,0,5,0,0,0,2,0,2,0,2
iwrite-backend,com.iwrite.dashboard.dto,BookMyWritingResponse,0,9,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.dashboard.dto,UserDailyWritingResponse,0,12,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.dashboard.dto,PovStatsResponse,0,15,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.dashboard.dto,ContributionSummaryResponse,0,15,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.dashboard.dto,WritingProgressPeriodResponse,0,12,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.dashboard.dto,BookDashboardResponse,0,60,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.dashboard.dto,UserWritingSummaryResponse,0,24,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.dashboard.dto,DailyWritingProgressResponse,0,24,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.dashboard.dto,ContributorSummaryResponse,0,9,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.dashboard.dto,EntityUsageResponse,0,12,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.dashboard.dto,BookContributionDashboardResponse,0,21,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.dashboard.dto,NarrativeGapsResponse,0,21,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.dashboard.dto,WritingScheduleResponse,0,18,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.dashboard.dto,WritingProgressDashboardResponse,0,12,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.dashboard.dto,UserBookContributionResponse,0,18,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.dashboard.dto,WritingConsistencyResponse,0,30,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.dashboard.dto,StatusCountResponse,0,15,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.dashboard.dto,DashboardSceneSummaryResponse,0,54,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.dashboard.dto,PlanningProgressResponse,0,12,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.dashboard.dto,UserDashboardResponse,0,15,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.dashboard.dto,ContributionDailyWritingResponse,0,12,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.book.service,BookCollaboratorService,31,221,2,8,4,55,4,13,3,9
iwrite-backend,com.iwrite.book.service,BookAccessService,32,131,0,0,4,27,4,11,4,11
iwrite-backend,com.iwrite.book.service,BookService,14,236,4,14,3,55,4,15,0,10
iwrite-backend,com.iwrite.book.service,BookCollaboratorGrantResult,0,15,0,0,0,3,0,1,0,1
iwrite-backend,com.iwrite.user.entity,User,12,34,0,0,4,15,4,8,4,8
iwrite-backend,com.iwrite.common.dto,ReorderRequest,0,6,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.scene.entity,SceneStatus,0,39,0,0,0,7,0,1,0,1
iwrite-backend,com.iwrite.scene.entity,Scene,13,182,4,4,3,71,4,43,0,43
iwrite-backend,com.iwrite.section.service,BookSectionService,59,191,10,8,12,43,9,10,0,10
iwrite-backend,com.iwrite.book.controller,BookController,0,31,0,0,0,9,0,6,0,6
iwrite-backend,com.iwrite.book.controller,BookCollaboratorController,0,24,0,0,0,7,0,4,0,4
iwrite-backend,com.iwrite.sceneversion.service,SceneVersionService,21,360,5,23,5,85,5,30,0,21
iwrite-backend,com.iwrite.export,ExportResponseFactory,0,31,0,0,0,6,0,2,0,2
iwrite-backend,com.iwrite.export,ExportFormat,2,78,2,6,1,17,2,8,0,5
iwrite-backend,com.iwrite.export,ExportFile,0,12,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.export,ExportFileNameService,2,36,2,4,1,11,2,4,0,3
iwrite-backend,com.iwrite.user.context,DevelopmentCurrentUserProperties,3,42,0,0,1,16,1,8,1,8
iwrite-backend,com.iwrite.user.context,DevelopmentCurrentUserConfiguration,0,15,0,0,0,5,0,2,0,2
iwrite-backend,com.iwrite.user.context,CurrentUserMembershipService,7,25,1,1,1,8,1,2,0,2
iwrite-backend,com.iwrite.user.context,DevelopmentCurrentUserProvider,0,21,0,0,0,8,0,4,0,4
iwrite-backend,com.iwrite.sceneversion.controller,SceneVersionController,0,29,0,0,0,7,0,4,0,4
iwrite-backend,com.iwrite.book.dto,BookRequest,0,44,0,0,0,5,0,3,0,3
iwrite-backend,com.iwrite.book.dto,BookUpdateRequest,12,58,0,0,6,22,3,15,3,15
iwrite-backend,com.iwrite.book.dto,BookCollaboratorResponse,0,24,0,0,0,5,0,2,0,2
iwrite-backend,com.iwrite.book.dto,BookResponse,0,60,0,0,0,11,0,2,0,2
iwrite-backend,com.iwrite.book.dto,AddBookCollaboratorRequest,0,6,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.scene.ai,OpenAiChatOptionsConfiguration,0,20,0,0,0,7,0,3,0,3
iwrite-backend,com.iwrite.scene.ai,OpenAiWritingAssistant,63,186,4,18,14,49,4,17,1,9
iwrite-backend,com.iwrite.scene.ai,OpenAiChatGenerationProperties,0,31,0,0,0,13,0,9,0,9
iwrite-backend,com.iwrite.scene.ai,DisabledWritingAssistant,0,8,0,0,0,2,0,2,0,2
iwrite-backend,com.iwrite.scene.ai,OpenAiChatOptionsConfiguration.new BeanPostProcessor() {...},0,14,0,2,0,4,0,3,0,2
iwrite-backend,com.iwrite.scene.ai,SceneAnalysisPrompt,0,12,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.character.controller,CharacterController,6,27,0,0,1,8,1,5,1,5
iwrite-backend,com.iwrite.item.entity,Item,0,81,0,0,0,34,0,22,0,22
iwrite-backend,com.iwrite.outline.controller,OutlineController,0,11,0,0,0,4,0,2,0,2
iwrite-backend,com.iwrite.outline.dto,OutlineSceneResponse,0,27,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.outline.dto,OutlineSectionResponse,0,21,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.outline.dto,OutlineChapterResponse,0,21,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.outline.dto,BookOutlineResponse,0,18,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.character.entity,Character,0,116,0,0,0,49,0,32,0,32
iwrite-backend,com.iwrite.notebook.dto,NotebookCategoryUpdateRequest,0,9,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.notebook.dto,NotebookCategoryResponse,0,38,0,0,0,8,0,2,0,2
iwrite-backend,com.iwrite.notebook.dto,NotebookNoteUpdateRequest,0,43,0,0,0,17,0,11,0,11
iwrite-backend,com.iwrite.notebook.dto,NotebookNoteResponse,0,87,0,8,0,18,0,7,0,3
iwrite-backend,com.iwrite.notebook.dto,NotebookCategoryRequest,0,9,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.notebook.dto,NotebookNoteRequest,0,15,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.dashboard.service,UserDashboardService.ProgressTotals,0,24,0,0,0,4,0,2,0,2
iwrite-backend,com.iwrite.dashboard.service,UserDashboardService,13,618,1,35,0,141,4,43,3,26
iwrite-backend,com.iwrite.dashboard.service,BookDashboardService.CountStats,0,35,0,0,0,6,0,2,0,2
iwrite-backend,com.iwrite.dashboard.service,BookDashboardService,5,769,3,55,0,199,4,59,1,33
iwrite-backend,com.iwrite.dashboard.service,UserDashboardService.BookTotals,0,49,0,4,0,12,0,5,0,3
iwrite-backend,com.iwrite.dashboard.service,BookDashboardService.NamedCountStats,0,29,0,0,0,9,0,3,0,3
iwrite-backend,com.iwrite.item.controller,ItemController,6,27,0,0,1,8,1,5,1,5
iwrite-backend,com.iwrite.audit.service,AuditLogService,0,29,0,0,0,8,0,2,0,2
iwrite-backend,com.iwrite.health.controller,PingController.PingResponse,0,12,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.health.controller,PingController,0,11,0,0,0,3,0,2,0,2
iwrite-backend,com.iwrite.location.service,LocationService,29,220,6,10,9,56,6,15,0,13
iwrite-backend,com.iwrite.common.validation,RequestValidation,0,12,0,4,0,3,0,3,0,1
iwrite-backend,com.iwrite.location.controller,LocationController,6,27,0,0,1,8,1,5,1,5
iwrite-backend,com.iwrite.chapter.entity,Chapter,3,65,0,0,1,26,1,16,1,16
iwrite-backend,com.iwrite.scene.dto,ItemSummaryResponse,2,24,1,1,1,6,1,2,0,2
iwrite-backend,com.iwrite.scene.dto,SceneAnalysisRequest,0,6,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.scene.dto,SceneRequest,0,34,0,0,0,3,0,2,0,2
iwrite-backend,com.iwrite.scene.dto,CharacterSummaryResponse,0,26,0,2,0,7,0,3,0,2
iwrite-backend,com.iwrite.scene.dto,SceneUpdateRequest,0,15,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.scene.dto,SceneAnalysisResponse,0,21,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.scene.dto,SceneResponse,0,134,0,0,0,31,0,2,0,2
iwrite-backend,com.iwrite.scene.dto,ScenePlanningRequest,0,27,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.scene.dto,LocationSummaryResponse,0,26,0,2,0,7,0,3,0,2
iwrite-backend,com.iwrite.scene.dto,SceneContentRequest,0,35,0,0,0,5,0,3,0,3
iwrite-backend,com.iwrite.sceneversion.dto,SceneVersionSummaryResponse,9,70,4,4,1,13,4,3,0,3
iwrite-backend,com.iwrite.sceneversion.dto,SceneVersionRestoreRequest,0,14,0,0,0,3,0,2,0,2
iwrite-backend,com.iwrite.sceneversion.dto,SceneVersionPageResponse,0,15,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.sceneversion.dto,SceneVersionDetailResponse,2,56,1,1,0,11,1,2,0,2
iwrite-backend,com.iwrite.writingprogress.entity,DailyWritingProgress,25,84,1,1,10,35,7,22,6,22
iwrite-backend,com.iwrite.writingprogress.entity,BookWritingSchedule,6,54,0,0,2,23,2,14,2,14
iwrite-backend,com.iwrite,IWriteApplication,5,3,0,0,2,1,1,1,1,1
iwrite-backend,com.iwrite.section.controller,BookSectionController,12,17,0,0,3,6,2,3,2,3
iwrite-backend,com.iwrite.book.entity,BookAccessLevel,0,15,0,0,0,3,0,1,0,1
iwrite-backend,com.iwrite.book.entity,BookStatus,0,33,0,0,0,6,0,1,0,1
iwrite-backend,com.iwrite.book.entity,Book,3,92,0,2,1,37,1,23,1,22
iwrite-backend,com.iwrite.book.entity,BookCollaborator,12,32,1,1,4,14,5,8,4,8
iwrite-backend,com.iwrite.common.exception,BadRequestException,0,4,0,0,0,2,0,1,0,1
iwrite-backend,com.iwrite.common.exception,ConflictException,0,4,0,0,0,2,0,1,0,1
iwrite-backend,com.iwrite.common.exception,ServiceUnavailableException,0,9,0,0,0,4,0,2,0,2
iwrite-backend,com.iwrite.common.exception,ApiErrorResponse,0,15,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.common.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
iwrite-backend,com.iwrite.common.exception,GlobalExceptionHandler,31,79,0,0,7,18,4,10,4,10
iwrite-backend,com.iwrite.audit.entity,AuditLog,9,43,0,0,3,17,3,8,3,8
iwrite-backend,com.iwrite.audit.entity,AuditResult,0,15,0,0,0,3,0,1,0,1
iwrite-backend,com.iwrite.audit.entity,AuditResourceType,0,21,0,0,0,4,0,1,0,1
iwrite-backend,com.iwrite.audit.entity,AuditAction,0,75,0,0,0,13,0,1,0,1
iwrite-backend,com.iwrite.location.dto,LocationUpdateRequest,0,21,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.location.dto,LocationResponse,0,58,0,0,0,12,0,2,0,2
iwrite-backend,com.iwrite.location.dto,LocationRequest,0,21,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.audit.aspect,AuditLogAspect,4,87,0,0,2,23,0,3,0,3
iwrite-backend,com.iwrite.section.entity,SectionType,0,33,0,0,0,6,0,1,0,1
iwrite-backend,com.iwrite.section.entity,BookSection,6,61,1,1,2,24,2,14,1,14
iwrite-backend,com.iwrite.dashboard.controller,BookDashboardController,0,24,0,0,0,7,0,3,0,3
iwrite-backend,com.iwrite.dashboard.controller,UserDashboardController,0,12,0,0,0,4,0,2,0,2
iwrite-backend,com.iwrite.notebook.service,NotebookService,19,577,3,39,7,140,3,47,0,29
iwrite-backend,com.iwrite.chapter.service,ChapterService,57,195,9,7,12,45,8,10,0,10
iwrite-backend,com.iwrite.item.service,ItemService,9,290,0,24,4,75,0,26,0,14
iwrite-backend,com.iwrite.notebook,NotebookCategoryOrdering,0,27,0,0,0,10,0,4,0,4
iwrite-backend,com.iwrite.sceneversion.entity,SceneVersionSource,0,27,0,0,0,5,0,1,0,1
iwrite-backend,com.iwrite.sceneversion.entity,SceneVersion,10,76,2,2,3,32,4,20,2,20
iwrite-backend,com.iwrite.common.wordcount,WordCountService,0,27,0,6,0,9,0,6,0,3
iwrite-backend,com.iwrite.notebook.controller,NotebookController,0,56,0,0,0,14,0,10,0,10
iwrite-backend,com.iwrite.writingprogress.service,WritingDayResolver,0,28,0,2,0,8,0,4,0,3
iwrite-backend,com.iwrite.writingprogress.service,WritingProgressPeriod,0,105,1,7,0,20,1,9,0,6
iwrite-backend,com.iwrite.writingprogress.service,WritingProgressPeriod.new WritingProgressPeriod() {...},0,10,0,0,0,2,0,2,0,2
iwrite-backend,com.iwrite.writingprogress.service,WritingProgressPeriod.new WritingProgressPeriod() {...},0,10,0,0,0,2,0,2,0,2
iwrite-backend,com.iwrite.writingprogress.service,WritingProgressPeriod.new WritingProgressPeriod() {...},4,6,0,0,1,1,1,1,1,1
iwrite-backend,com.iwrite.writingprogress.service,WritingProgressPeriod.new WritingProgressPeriod() {...},0,10,0,0,0,2,0,2,0,2
iwrite-backend,com.iwrite.writingprogress.service,WritingProgressPeriod.new WritingProgressPeriod() {...},0,10,0,0,0,2,0,2,0,2
iwrite-backend,com.iwrite.writingprogress.service,WritingProgressPeriod.new WritingProgressPeriod() {...},0,10,0,0,0,2,0,2,0,2
iwrite-backend,com.iwrite.writingprogress.service,WritingScheduleService.ScheduleOperationTime,0,9,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.writingprogress.service,WritingScheduleService,135,549,8,30,19,123,18,40,10,29
iwrite-backend,com.iwrite.writingprogress.service,DailyWritingProgressService,109,432,4,32,23,105,8,29,5,14
iwrite-backend,com.iwrite.tenant.entity,TenantMembership,15,22,1,1,5,10,6,5,5,5
iwrite-backend,com.iwrite.tenant.entity,TenantMembershipRole,0,9,0,0,0,2,0,1,0,1
iwrite-backend,com.iwrite.tenant.entity,Tenant,16,23,0,0,6,10,5,5,5,5
iwrite-backend,com.iwrite.scene.controller,SceneController,12,43,0,0,3,11,2,7,2,7
iwrite-backend,com.iwrite.outline.service,OutlineService,0,200,0,4,0,58,0,11,0,9
iwrite-backend,com.iwrite.scene.service,SceneDeletionLedgerService,0,109,0,6,0,34,0,6,0,3
iwrite-backend,com.iwrite.scene.service,SceneService,70,1189,13,89,14,284,12,84,0,45
iwrite-backend,com.iwrite.scene.service,ScenePlanningCompletenessService,0,64,1,11,0,14,1,10,0,5
iwrite-backend,com.iwrite.scene.service,SceneAnalysisService,3,299,9,33,1,68,9,28,0,16
iwrite-backend,com.iwrite.scene.service,SceneDeletionLedgerService.DeletedSceneFacts,2,37,1,1,0,7,1,2,0,2
iwrite-backend,com.iwrite.notebook.entity,NotebookNote,0,63,0,0,0,26,0,16,0,16
iwrite-backend,com.iwrite.notebook.entity,NotebookCategory,0,46,0,0,0,19,0,12,0,12
iwrite-backend,com.iwrite.notebook.entity,BookNotebookSettings,20,0,2,0,8,0,6,0,5,0
iwrite-backend,com.iwrite.notebook.entity,NotebookNoteStatus,0,15,0,0,0,3,0,1,0,1
iwrite-backend,com.iwrite.character.service,CharacterService,49,275,10,22,14,72,10,19,0,13
iwrite-backend,com.iwrite.section.dto,BookSectionUpdateRequest,0,12,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.section.dto,BookSectionRequest,0,12,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.section.dto,BookSectionResponse,0,43,0,0,0,9,0,2,0,2
iwrite-backend,com.iwrite.writingprogress.ledger.service,WordCountEventCommand,0,42,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.writingprogress.ledger.service,WordCountRequestFingerprint,9,208,1,7,2,17,1,9,0,6
iwrite-backend,com.iwrite.writingprogress.ledger.service,WordCountEventService,39,262,20,32,7,69,21,13,1,7
iwrite-backend,com.iwrite.writingprogress.ledger.service,WordCountEventConflictException,0,4,0,0,0,2,0,1,0,1
iwrite-backend,com.iwrite.writingprogress.ledger.service,WordCountEventRecordResult,0,15,0,0,0,3,0,1,0,1
iwrite-backend,com.iwrite.character.dto,CharacterUpdateRequest,0,39,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.character.dto,CharacterRequest,0,39,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.character.dto,CharacterSummaryResponse,0,26,0,2,0,7,0,3,0,2
iwrite-backend,com.iwrite.character.dto,CharacterResponse,0,88,0,0,0,18,0,2,0,2
iwrite-backend,com.iwrite.config,WebConfig,0,41,0,0,0,6,0,2,0,2
iwrite-backend,com.iwrite.writingprogress.ledger.entity,BookWordCountEvent,0,107,1,1,0,45,1,30,0,30
iwrite-backend,com.iwrite.writingprogress.ledger.entity,BookWordCountEventType,0,39,0,0,0,7,0,1,0,1
iwrite-backend,com.iwrite.item.dto,ItemResponse,0,75,0,2,0,15,0,3,0,2
iwrite-backend,com.iwrite.item.dto,ItemRequest,0,24,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.item.dto,ItemUpdateRequest,0,58,0,0,0,24,0,16,0,16
iwrite-backend,com.iwrite.export.controller,BookExportController,0,63,0,0,0,14,0,5,0,5
iwrite-backend,com.iwrite.export.service,BookExportService.NotebookCategoryExport,0,39,0,4,0,7,0,7,0,5
iwrite-backend,com.iwrite.export.service,BookExportService.NotebookExport,0,9,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.export.service,TipTapDocxRenderer,326,496,82,70,79,118,58,43,5,20
iwrite-backend,com.iwrite.export.service,BookExportService.ManuscriptExport,0,15,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.export.service,BookExportService,106,1448,37,165,26,320,36,121,5,50
iwrite-backend,com.iwrite.export.service,TipTapMarkdownRenderer,93,750,39,107,23,155,37,61,0,25
iwrite-backend,com.iwrite.export.service,TipTapPlainTextRenderer,156,346,36,42,34,66,28,27,3,13
iwrite-backend,com.iwrite.chapter.controller,ChapterController,12,17,0,0,3,6,2,3,2,3
iwrite-backend,com.iwrite.common.timezone,IanaZoneIdValidator,4,79,6,16,1,18,6,9,0,4
iwrite-backend,com.iwrite.common.timezone,EffectiveTimeZoneResolver,0,23,0,4,0,8,0,4,0,2
iwrite-backend,com.iwrite.chapter.dto,ChapterRequest,0,12,0,0,0,1,0,1,0,1
iwrite-backend,com.iwrite.chapter.dto,ChapterResponse,0,49,0,0,0,10,0,2,0,2
iwrite-backend,com.iwrite.chapter.dto,ChapterUpdateRequest,0,12,0,0,0,1,0,1,0,1
